date,nav_raw,nav_q3z,nav_stack_base,nav_stack_comb_best,nav_ddc15_actual,pos_MA15_base,pos_comb_best,pos_ddc_base,pos_ddc_comb,dd_raw,rv_hi
2006-08-25,1.180896425678873,1.097304991828616,1.088587952582953,1.1300447454488822,1.1815495968488798,0.2680298326956071,1.0,1.0,1.0,-0.030481578550938138,0.0
2006-08-28,1.1904259568653917,1.0996783878922936,1.090942494283635,1.1324889553728326,1.1912557246691269,0.2680298326956071,1.0,1.0,1.0,-0.022657813627785073,0.0
2006-08-29,1.1925751700692369,1.1002105279314487,1.091470406978852,1.1330369726146825,1.1934027661874107,0.2680298326956071,1.0,1.0,1.0,-0.020893305117606786,0.0
2006-08-30,1.1954394199687934,1.1009187738415904,1.0921730265522502,1.1337663501124624,1.1959947873633618,0.2680298326956071,1.0,1.0,1.0,-0.0185417499931535,0.0
2006-08-31,1.1965618642636873,1.101195834994568,1.0928084992775935,1.134426023602736,1.1971595032158402,0.61968109144384,1.0,1.0,1.0,-0.0176202208926447,0.0
2006-09-01,1.1899163331500762,1.0974059385533292,1.0890474688498057,1.1305217615150374,1.1900018721565229,0.61968109144384,1.0,1.0,1.0,-0.023076215757947938,0.0
2006-09-04,1.2079899495940627,1.107735079086741,1.0992979367560893,1.1411625989121474,1.2080767878508436,0.61968109144384,1.0,1.0,1.0,-0.008237739068871486,0.0
2006-09-05,1.2177611777588155,1.1132875972381164,1.1048081637614848,1.1468826723879775,1.217848718435696,0.61968109144384,1.0,1.0,1.0,-0.00021554042391935813,0.0
2006-09-06,1.2280368206848171,1.1191089309339284,1.1105851588587698,1.1528796733089237,1.2281251000424454,0.61968109144384,1.0,1.0,1.0,0.0,0.0
2006-09-07,1.2193101506901691,1.1141808506918847,1.1056946136873436,1.1478028810660577,1.2193978027174042,0.61968109144384,1.0,1.0,1.0,-0.0071061957163316425,0.0
2006-09-08,1.2263653459197024,1.1181758690672876,1.1096592037236217,1.1519184549411172,1.226453505120739,0.61968109144384,1.0,1.0,1.0,-0.0013610949907696401,0.0
