date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2020-02-03,20,20,600507|002884|603360|000672|002110|603871|002746|002458|002677|000789|300107|002867|000848|002749|603519|603505|600995|600668|002372|600720,000672|000789|000848|002110|002372|002458|002677|002746|002749|002867|002884|300107|600507|600668|600720|600995|603360|603505|603519|603871,,601225
2020-03-02,17,17,600507|603360|002884|002746|002110|603871|002677|000789|300107|000848|002867|002749|603519|603505|600995|002372|601225,000789|000848|002110|002372|002677|002746|002749|002867|002884|300107|600507|600995|601225|603360|603505|603519|603871,,000672|002458|600668|600720
2020-04-01,19,19,600507|603360|002884|002746|603871|002677|002110|002833|000789|300107|002867|002749|000848|002832|603519|603505|600995|002372|601225,000789|000848|002110|002372|002677|002746|002749|002832|002833|002867|002884|300107|600507|600995|601225|603360|603505|603519|603871,,
2020-05-06,0,0,,,,600507|603360|002884|002746|603871|002677|002110|000789|300107|002867|002749|000848|603519|603505|600995|002372|601225|002833|002832
2020-06-01,0,0,,,,
2020-07-01,0,0,,,,
2020-08-03,0,0,,,,
2020-09-01,0,0,,,,
2020-10-09,0,0,,,,
2020-11-02,6,6,603360|002443|603327|002567|002749|601225,002443|002567|002749|601225|603327|603360,,
2020-12-01,6,6,603360|002443|603327|002567|002749|601225,002443|002567|002749|601225|603327|603360,,
2021-01-04,6,6,603360|002443|603327|002567|002749|601225,002443|002567|002749|601225|603327|603360,,
2021-02-01,9,9,603360|000789|002443|603327|002100|300394|002749|002567|601225,000789|002100|002443|002567|002749|300394|601225|603327|603360,,
2021-03-01,7,7,603360|603327|002443|300394|002567|002749|601225,002443|002567|002749|300394|601225|603327|603360,,000789|002100
2021-04-01,8,8,603360|603327|300394|002100|002443|002749|002567|601225,002100|002443|002567|002749|300394|601225|603327|603360,,
2021-05-06,0,0,,,,603360|603327|300394|002443|002749|002567|601225|002100
2021-06-01,0,0,,,,
2021-07-01,0,0,,,,
2021-08-02,0,0,,,,
2021-09-01,2,1,600571|002027,002027,600571,
