date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2013-01-04,20,20,300346|601515|300298|300026|002653|300058|002252|600403|000848|601633|002236|600252|002415|002242|002022|600329|600216|000550|000895|600123,000550|000848|000895|002022|002236|002242|002252|002415|002653|300026|300058|300298|300346|600123|600216|600252|600329|600403|601515|601633,,300288|300295|600366|000999
2013-02-01,16,16,300346|601515|300298|300026|300058|002252|600403|000848|601633|002236|002415|002242|600252|600216|600395|601088,000848|002236|002242|002252|002415|300026|300058|300298|300346|600216|600252|600395|600403|601088|601515|601633,,002653|002022|600329|000550|000895|600123
2013-03-01,17,17,300346|300298|601515|300026|600403|002252|300058|000848|601633|002236|002415|002242|600252|600216|000550|600395|601088,000550|000848|002236|002242|002252|002415|300026|300058|300298|300346|600216|600252|600395|600403|601088|601515|601633,,
2013-04-01,14,14,300343|300346|601515|300026|600403|000848|601633|002242|002415|600252|000550|600123|600395|601088,000550|000848|002242|002415|300026|300343|300346|600123|600252|600395|600403|601088|601515|601633,,300298|002252|300058|002236|600216
2013-05-02,1,1,000848,000848,,300346|601515|300026|600403|601633|002242|002415|600252|000550|600395|601088|300343|600123
2013-06-03,3,3,300352|300355|000848,000848|300352|300355,,
2013-07-01,5,5,300352|300355|300293|000848|002016,000848|002016|300293|300352|300355,,
2013-08-01,4,4,300352|300353|000848|002016,000848|002016|300352|300353,,300355|300293
2013-09-02,3,3,600816|000848|600067,000848|600067|600816,,300352|002016|300353
2013-10-08,4,4,600816|000848|002016|600067,000848|002016|600067|600816,,
2013-11-01,14,14,601515|600816|600201|002410|300039|000848|600658|002016|600252|002275|000690|600067|600809|002415,000690|000848|002016|002275|002410|002415|300039|600067|600201|600252|600658|600809|600816|601515,,
2013-12-02,13,13,601515|600816|600201|002410|300039|000848|002016|600658|600252|002275|000690|600067|002415,000690|000848|002016|002275|002410|002415|300039|600067|600201|600252|600658|600816|601515,,600809
2014-01-02,11,11,601515|600816|600201|300039|000848|002016|600658|600252|000690|600067|002415,000690|000848|002016|002415|300039|600067|600201|600252|600658|600816|601515,,002410|002275
2014-02-07,12,12,601515|000848|601633|300039|002016|600658|600252|002275|000690|600067|600809|002415,000690|000848|002016|002275|002415|300039|600067|600252|600658|600809|601515|601633,,600816|600201
2014-03-03,13,13,601515|600816|000848|601633|300039|002016|600658|600252|002275|600067|000690|600809|002415,000690|000848|002016|002275|002415|300039|600067|600252|600658|600809|600816|601515|601633,,
2014-04-01,11,11,601515|600816|000848|601633|300039|600658|600252|000690|600067|600809|002415,000690|000848|002415|300039|600067|600252|600658|600809|600816|601515|601633,,002016|002275
