date,open,close,high,low,vol
2023-12-28,133.179,133.245,133.400,133.107,7875.000
2023-12-29,133.262,133.363,133.387,133.262,26287.000
2024-01-02,133.364,133.252,133.364,133.030,31664.000
2024-01-03,133.215,133.217,133.247,133.155,41739.000
2024-01-04,133.205,133.320,133.394,133.171,4005.000
2024-01-05,133.318,133.457,133.592,133.283,3307.000
2024-01-08,133.444,133.423,133.699,133.360,30614.000
2024-01-09,133.422,133.444,133.486,133.410,29256.000
2024-01-10,133.469,133.427,133.487,133.396,22250.000
2024-01-11,133.428,133.460,133.476,133.369,27339.000
2024-01-12,133.499,133.417,133.499,133.254,26873.000
2024-01-15,133.417,133.373,133.456,133.367,61964.000
2024-01-16,133.331,133.282,133.359,133.280,46331.000
2024-01-17,133.264,133.379,133.379,133.264,42925.000
2024-01-18,133.415,133.350,133.557,133.334,42701.000
2024-01-19,133.440,133.575,133.575,133.440,50477.000
2024-01-22,133.577,133.637,133.700,133.548,30624.000
2024-01-23,133.637,133.559,133.637,133.502,31376.000
2024-01-24,133.511,133.512,133.598,133.496,14214.000
2024-01-25,133.564,133.682,133.721,133.564,16875.000
2024-01-26,133.750,133.775,133.847,133.747,40995.000
2024-01-29,133.775,133.821,133.825,133.754,30873.000
2024-01-30,134.016,134.167,134.308,133.918,36493.000
2024-01-31,134.270,134.200,134.390,134.118,25205.000
2024-02-01,134.120,134.078,134.177,133.944,34043.000
2024-02-02,134.063,134.066,134.090,134.031,40738.000
2024-02-05,134.322,134.224,134.390,134.169,34413.000
2024-02-06,134.145,134.023,134.170,133.970,42677.000
2024-02-07,133.969,133.961,134.230,133.745,15312.000
2024-02-08,134.195,134.200,134.200,134.002,25645.000
2024-02-19,134.119,134.160,134.178,134.026,38908.000
2024-02-20,134.148,134.202,134.220,134.130,35983.000
2024-02-21,134.252,134.285,134.427,134.160,29469.000
2024-02-22,134.285,134.343,134.357,134.231,26980.000
2024-02-23,134.480,134.509,134.578,134.387,36790.000
2024-02-26,134.499,134.521,134.566,134.410,25915.000
2024-02-27,134.551,134.559,134.612,134.528,28539.000
2024-02-28,134.525,134.570,134.597,134.498,25255.000
2024-02-29,134.581,134.621,134.639,134.580,54219.000
2024-03-01,134.600,134.540,134.624,134.530,52223.000
2024-03-04,134.507,134.545,134.566,134.425,43927.000
2024-03-05,134.527,134.550,134.578,134.501,41925.000
2024-03-06,134.640,134.730,134.734,134.580,37172.000
2024-03-07,134.955,134.846,134.955,134.742,37630.000
2024-03-08,134.844,134.793,134.873,134.720,43724.000
2024-03-11,134.696,134.708,134.792,134.671,42286.000
2024-03-12,134.608,134.581,134.660,134.508,41780.000
2024-03-13,134.469,134.544,134.555,134.374,39384.000
2024-03-14,134.513,134.471,134.513,134.413,34673.000
2024-03-15,134.499,134.554,134.603,134.492,41887.000
2024-03-18,134.544,134.677,134.680,134.534,41509.000
2024-03-19,134.680,134.783,134.792,134.680,34378.000
2024-03-20,134.777,134.759,134.794,134.734,67407.000
2024-03-21,134.709,134.783,134.791,134.624,35896.000
2024-03-22,134.840,134.816,134.900,134.783,38493.000
2024-03-25,134.680,134.752,134.776,134.658,41118.000
2024-03-26,134.705,134.737,134.744,134.698,31516.000
2024-03-27,134.732,134.791,134.812,134.721,40304.000
2024-03-28,134.848,134.775,134.848,134.756,2827.000
2024-03-29,134.807,134.923,134.933,134.779,40632.000
2024-04-01,134.925,134.878,134.926,134.816,30373.000
2024-04-02,134.878,134.926,134.930,134.878,37738.000
2024-04-03,134.976,135.063,135.070,134.968,34318.000
2024-04-08,135.063,135.230,135.258,135.052,31544.000
2024-04-09,135.230,135.355,135.373,135.182,41409.000
2024-04-10,135.287,135.369,135.400,135.258,52895.000
2024-04-11,135.370,135.394,135.457,135.368,39365.000
2024-04-12,135.437,135.569,135.599,135.437,39987.000
2024-04-15,135.575,135.550,135.645,135.542,30803.000
2024-04-16,135.550,135.477,135.550,135.388,38683.000
2024-04-17,135.477,135.512,135.542,135.477,34128.000
2024-04-18,135.560,135.618,135.629,135.492,31451.000
2024-04-19,135.679,135.706,135.736,135.679,68993.000
2024-04-22,135.720,135.787,135.790,135.720,30708.000
2024-04-23,135.798,135.977,135.979,135.793,29838.000
2024-04-24,135.785,135.618,135.977,135.568,34713.000
2024-04-25,135.626,135.713,135.782,135.626,31794.000
2024-04-26,135.765,135.489,135.840,135.480,28061.000
2024-04-29,135.625,134.929,135.625,134.512,10692.000
2024-04-30,135.070,135.312,135.340,135.070,36085.000
2024-05-06,135.317,135.525,135.525,135.058,18296.000
2024-05-07,135.642,135.691,135.795,135.545,29758.000
2024-05-08,135.691,135.715,135.734,135.679,28353.000
2024-05-09,135.650,135.596,135.660,135.559,41169.000
2024-05-10,135.588,135.572,135.624,135.554,29335.000
2024-05-13,135.612,135.716,135.719,135.600,27803.000
2024-05-14,135.749,135.791,135.826,135.721,38968.000
2024-05-15,135.797,135.790,135.851,135.731,34142.000
2024-05-16,135.778,135.726,135.778,135.656,33005.000
2024-05-17,135.628,135.627,135.710,135.527,38343.000
2024-05-20,135.702,135.789,135.790,135.630,33931.000
