date,close_true,low
2021-04-12,111.021,110.760
2021-04-13,111.300,111.010
2021-04-14,111.370,111.218
2021-04-15,111.215,111.210
2021-04-16,111.573,111.115
2021-04-19,111.515,111.465
2021-04-20,111.599,111.486
2021-04-21,111.605,111.512
2021-04-22,111.538,111.460
2021-04-23,111.825,111.510
2021-04-26,111.698,111.510
2021-04-27,111.597,111.520
2021-04-28,111.304,111.260
2021-04-29,111.449,111.253
2021-04-30,111.660,111.363
2021-05-06,111.638,111.619
2021-05-07,111.616,111.533
2021-05-10,111.618,111.570
2021-05-11,111.842,111.570
2021-05-12,111.822,111.801
2021-05-13,111.746,111.632
2021-05-14,111.801,111.696
2021-05-17,111.772,111.627
2021-05-18,111.722,111.653
2021-05-19,111.968,111.722
2021-05-20,112.181,111.982
2021-05-21,112.500,112.180
2021-05-24,112.600,112.510
2021-05-25,112.541,112.434
2021-05-26,112.715,112.412
2021-05-27,112.471,112.455
2021-05-28,112.479,112.352
2021-05-31,112.392,112.100
2021-06-01,112.500,112.402
2021-06-02,112.658,112.510
2021-06-03,112.745,112.500
2021-06-04,112.552,112.430
2021-06-07,112.374,112.360
2021-06-08,112.366,112.355
2021-06-09,112.378,112.260
