date,ic,n,note
2022-11-01,0.0684487621025589,4145,
2022-12-01,0.0013239211798265677,4186,
2023-01-03,0.10593101865560983,4222,
2023-02-01,0.2919779795365274,4242,
2023-03-01,0.028074483333210533,4264,
2023-04-03,0.09687013374677769,4297,
2023-05-04,0.23877391390092692,4310,
2023-06-01,0.141997380459554,4332,
2023-07-03,0.26538947643828625,4360,
2023-08-01,0.24377448864818285,4389,
2023-09-01,0.1306739046854772,4431,
2023-10-09,0.19024955772916896,4469,
2023-11-01,0.13367988551379478,4499,
2023-12-01,0.2480744453806298,4522,
2024-01-02,-0.1339205000898888,4544,
2024-02-01,-0.4848447206452197,4551,
2024-03-01,0.36092913605435667,4564,
2024-04-01,0.022315776977910092,4588,
2024-05-06,0.002709695136875141,4601,
2024-06-03,-0.0027041283355763025,4625,
2024-07-01,0.05918523292560783,4661,
2024-08-01,0.21631064525669505,4689,
2024-09-02,-0.1154458109385088,4715,
2024-10-08,-0.019451868808646,4723,
2024-11-01,0.3588708306334716,4727,
2024-12-02,0.05026811394069856,4740,
2025-01-02,0.12016968155008118,4745,
2025-02-05,0.04760724966292242,4758,
2025-03-03,0.25933819484541043,4761,
2025-04-01,0.1469046274478306,4765,
2025-05-06,0.28783573847046107,4744,
2025-06-03,0.1314345235627977,4750,
2025-07-01,0.20844219139592382,4765,
2025-08-01,-0.2214383887154367,4774,
2025-09-01,0.0007799213502947475,4782,
2025-10-09,0.3681376670448075,4780,
2025-11-03,0.218290239712668,4793,
2025-12-01,-0.16587550402069767,4793,
2026-01-05,0.20178524061659203,4808,
2026-02-02,-0.08625142996526826,4820,
2026-03-02,0.2581212509811831,4817,
2026-04-01,-0.07726457499539413,4827,
2026-05-06,-0.01215617126050031,4810,
2026-06-01,-0.28710762035445625,4827,
2026-07-01,0.4347466143392146,4847,
2026-08-03,,0,last_no_fwd
