ym,EP~log_mv,EP~amt20,EP~pb_inv,EP~roe_ttm,BP~log_mv,BP~amt20,BP~pb_inv,BP~roe_ttm,DP~log_mv,DP~amt20,DP~pb_inv,DP~roe_ttm,SP~log_mv,SP~amt20,SP~pb_inv,SP~roe_ttm,EP_stab~log_mv,EP_stab~amt20,EP_stab~pb_inv,EP_stab~roe_ttm,EP_impr~log_mv,EP_impr~amt20,EP_impr~pb_inv,EP_impr~roe_ttm
2022-05,-0.08062648243804482,-0.015368885272771336,-0.4746359616778866,0.6401323540199021,-0.33589020780752993,-0.2870393657239195,-0.9999999999999998,-0.14544931144999207,0.11054613754068196,0.006987269425192129,-0.2482552733364812,0.21525308297092083,-0.22966340604180663,-0.11414294487963503,-0.6130368669779858,0.21296838121821154,0.100501424623571,0.00843297906017882,-0.23313153598401912,0.07509949253889418,0.1915185052648836,0.15780061520924915,0.02668951089533415,0.4309723117257069
2022-06,-0.07843426570840317,-0.04147506334634876,-0.4724781160325172,0.622151004494403,-0.331247430460234,-0.33399146145062875,-1.0,-0.16938756460285948,0.046051697712588435,-0.031008968451432396,-0.2994837674915462,0.31520796983239774,-0.22303158344270418,-0.1487706076115639,-0.6184345263501656,0.19420856805771367,0.09912391067126637,-0.006027456385746076,-0.24185350128627564,0.06200950157009094,0.18919862227580495,0.17226023098446497,0.02423906276728144,0.42737077165571824
2022-07,-0.06261586645723005,-0.07050634901117023,-0.4738175107656634,0.6309530982031301,-0.30444595698231036,-0.353226946492721,-1.0,-0.15838562334986592,0.02649708181168379,-0.07097252104116585,-0.3365516266574273,0.37153406782464227,-0.19829770282085693,-0.14485149396795413,-0.6196594509739394,0.2069125273216806,0.11623822843711538,-0.015631782393504223,-0.23877782533865913,0.05770005086578211,0.19344791689207302,0.15859214090153737,0.020131730271321577,0.43128584711494855
2022-08,-0.035411141458560905,-0.02630933166894067,-0.394767800584673,0.6731346432015657,-0.29927345469685485,-0.3761699137460522,-1.0,-0.22676920224540914,0.04248710113487655,-0.07575200524328238,-0.34482445773007003,0.3224016084731697,-0.21715835262404984,-0.18239513641648042,-0.5776725153044521,0.18381080965683363,0.1406719454005768,0.004769831973053058,-0.19278020330859838,0.16182164815912048,0.26989043346339486,0.22741482725858236,0.05865824386245168,0.4772425906961943
2022-09,-0.042282612631400596,-0.025359828376344592,-0.38797807778625876,0.672297809946205,-0.3040159199651396,-0.3141893130379131,-1.0,-0.23476152356574118,0.046207128186854525,-0.06541572532466065,-0.3352579661085963,0.32189259004720056,-0.2255437569295683,-0.1710147002518987,-0.5711823245709537,0.18159713095501098,0.1405193255652675,0.01802727562316995,-0.1877112757936479,0.1545346163999792,0.2642219793886018,0.21917549986358378,0.05936695180203887,0.476447160210764
2022-10,-0.02684415197282575,0.03496797512218767,-0.3484326159517433,0.7039942216599634,-0.2845054959425092,-0.3562999570879947,-1.0,-0.24081373512776494,0.05669232231674819,-0.04239609028608924,-0.3433962188351614,0.28443060418792016,-0.21592694685902436,-0.18363198739456363,-0.5698826935868229,0.19254989514464027,0.14061407331491466,0.04180942259834784,-0.16958851704555997,0.2034252841096151,0.24023055570650995,0.23626214751251506,0.09575675713857647,0.46537180429530195
2022-11,-0.037734099358937845,-0.017647345431039903,-0.3471524219429791,0.7120392698491135,-0.2781145526938641,-0.35760577913320873,-1.0,-0.2395565019058084,0.05413873686201698,-0.07543352902681631,-0.33723741898311305,0.2907059855876153,-0.21576321823078706,-0.19916457133583843,-0.5582686066527958,0.1986893455047839,0.13612538853634554,0.012518218480144358,-0.17260529724695228,0.2046930238826207,0.23226343206576794,0.19574291904932367,0.09409457483663931,0.46815318150872454
2022-12,-0.05076173953984255,-0.054247932553428295,-0.3546647047714888,0.7055154316897307,-0.2848795288357765,-0.31645347634006404,-1.0,-0.2395994383541966,0.05206171387186998,-0.0745589799459885,-0.3347491922094827,0.2803323090048116,-0.22707765319559922,-0.17996923916165547,-0.5631659246044549,0.19540710339776962,0.1283207383979666,-0.012352131017848121,-0.17692122294228,0.2000876425806422,0.22435960262960242,0.17495145647726473,0.08711463483905427,0.46773841950569683
2023-01,-0.04471408046309196,-0.05362220012465907,-0.34857321279721165,0.7033361694965019,-0.28165761626755975,-0.35310427694331714,-1.0,-0.24513207964757133,0.061630971123433596,-0.07690735158664161,-0.3310597729125545,0.2667058365182849,-0.22394286719976325,-0.2179456810561785,-0.5661620961985532,0.19388053869831018,0.13493024613661886,-0.0015930027259418074,-0.17532509513214914,0.19705716523542166,0.22820690413198774,0.167477053074351,0.08643208112705948,0.46580482899369785
2023-02,-0.04706394871128541,-0.05665639509628515,-0.3455619009157857,0.7101276752708817,-0.2717814454076302,-0.3466231297718096,-1.0,-0.24125461617217756,0.08338885741789494,-0.0760378318009968,-0.31770987291614067,0.25551146551760423,-0.21935576299187665,-0.19217307543221798,-0.5634535593098305,0.19932387191824147,0.139777505365478,-0.005032947373536881,-0.1736318609672159,0.19449712932299437,0.22536951055256985,0.1709443682669218,0.08491513798794083,0.46675056298288314
